"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.14148382830318,0.47,0.048,0,"9","ENSG00000231421"
2.47208350119597e-186,3.14137459441833,0.423,0.074,9.54372556471717e-182,"9","CCNB1"
5.30944369561068e-181,3.1342082890625,0.337,0.048,2.04976383312746e-176,"9","CENPA"
0,3.13204071616497,0.782,0.131,0,"9","PCLAF"
7.69850443297885e-184,3.0826126126292,0.379,0.06,2.97208462139581e-179,"9","KNSTRN"
0,3.08145566788169,0.712,0.118,0,"9","UBE2C"
0,4.98076086428343,0.54,0.038,0,"10","H1-3"
1.54907009191066e-306,3.91670428598203,0.337,0.025,5.98033999683029e-302,"10","RPRML"
0,3.87951976452277,0.731,0.061,0,"10","TRDC"
0,3.83814637098772,0.318,0.019,0,"10","APOBEC3B"
0,3.78236863947404,0.513,0.063,0,"10","H1-4"
5.79301209429794e-293,3.78006924041772,0.303,0.02,2.23645024912466e-288,"10","H2BC9"
0,3.68778979335026,0.803,0.065,0,"10","NOS2"
5.73074405626508e-305,3.65418021357399,0.377,0.032,2.2124110503617e-300,"10","KIF23"
9.11505591484007e-273,3.49232237933756,0.509,0.072,3.51895848648316e-268,"10","CCNB1"
0,3.48438677814013,0.638,0.066,0,"10","MFAP4"
0,3.37189025012791,0.606,0.082,0,"10","TPX2"
1.96156888814529e-244,3.31839458671073,0.379,0.042,7.57283284957371e-240,"10","HJURP"
1.58614605307807e-149,3.31601746442371,0.263,0.033,6.12347545251318e-145,"10","FAM83D"
1.64533625961259e-258,3.29694448373478,0.43,0.052,6.35198516386037e-254,"10","NCAPG"
0,3.28148662577132,0.824,0.085,0,"10","CHRNA1"
0,3.24344534697423,0.57,0.072,0,"10","PRC1"
3.55000032367188e-172,3.14761231537017,0.299,0.037,1.37051312495677e-167,"10","DLGAP5"
0,3.09968008708353,0.597,0.087,0,"10","CDK1"
1.87514198676562e-246,3.08814733572717,0.36,0.036,7.23917315410733e-242,"10","BCAR3"
5.79720909470528e-259,3.07912279017542,0.987,0.512,2.23807054310192e-254,"10","UBE2S"
0,5.30459142194169,0.92,0.143,0,"11","ID3"
7.34330939877067e-302,5.0315948062597,0.316,0.022,2.8349580264894e-297,"11","AQP1"
0,4.64823516591705,0.391,0.03,0,"11","FAM107A"
3.01355678114674e-214,4.59729496350815,0.295,0.029,1.16341373092951e-209,"11","BAALC-AS1"
0,4.51695173629539,0.872,0.175,0,"11","AQP4"
8.66149234286326e-223,4.12619748200425,0.305,0.03,3.34385573388579e-218,"11","LIX1"
0,3.89194811105022,0.841,0.221,0,"11","ID4"
1.17447308553539e-135,3.85397125474408,0.272,0.04,4.53417079401793e-131,"11","ENSG00000260850"
3.01924407883182e-122,3.78766825125693,0.364,0.077,1.16560936907381e-117,"11","TAGLN"
6.49248542946583e-295,3.6373448469037,0.697,0.141,2.50648892489958e-290,"11","MGP"
6.77342011910947e-248,3.54155097729496,0.753,0.222,2.6149465711834e-243,"11","NMB"
0,3.46962049732126,0.875,0.247,0,"11","SERPINA3"
4.50265905266271e-265,3.44672204372372,0.726,0.178,1.73829655387096e-260,"11","ID1"
0,3.42490559812609,0.939,0.318,0,"11","APOE"
7.08663074975889e-187,3.33254413966228,0.431,0.076,2.73586466725192e-182,"11","BBOX1"
4.3216021739697e-149,3.3003597055521,0.385,0.074,1.66839773528274e-144,"11","MAOB"
1.7151936495036e-238,3.28186756696066,0.83,0.294,6.6216766032736e-234,"11","HOPX"
8.43945430424059e-109,3.26352020086756,0.282,0.052,3.25813572869512e-104,"11","ABCA8"
5.19204737425605e-229,3.01674606054095,0.967,0.495,2.00444180930529e-224,"11","CRYAB"
4.25857119599531e-74,2.90370378207429,0.301,0.081,1.64406399592595e-69,"11","ADCYAP1R1"
0,5.962434532906,0.747,0.02,0,"12","NMU"
0,5.4453021642801,0.711,0.027,0,"12","KIF20A"
0,5.26266621661501,0.747,0.028,0,"12","NEK2"
